0.000000 0.000000 -0.000000 0.000000 -0.000000
0.030030 0.000000 0.000000 0.000000 -0.000000
0.060060 0.000000 0.000000 0.000000 -0.000000
0.090090 0.000000 0.000000 0.000000 -0.000000
0.120120 0.000000 0.000001 0.000000 -0.000001
0.150150 0.000000 0.000002 0.000000 -0.000001
0.180180 0.000000 0.000005 0.000000 -0.000003
0.210210 0.000000 0.000009 0.000000 -0.000004
0.240240 0.000000 0.000015 0.000000 -0.000006
0.270270 0.000000 0.000025 0.000000 -0.000009
0.300300 0.000000 0.000038 0.000000 -0.000013
0.330330 0.000000 0.000056 0.000000 -0.000017
0.360360 0.000000 0.000081 0.000000 -0.000022
0.390390 0.000000 0.000112 0.000000 -0.000029
0.420420 0.000000 0.000152 0.000000 -0.000036
0.450450 0.000000 0.000201 0.000000 -0.000044
0.480480 0.000000 0.000262 0.000000 -0.000054
0.510511 0.000000 0.000336 0.000000 -0.000065
0.540541 0.000000 0.000425 0.000000 -0.000077
0.570571 0.000000 0.000529 0.000000 -0.000091
0.600601 0.000000 0.000651 0.000000 -0.000106
0.630631 0.000000 0.000793 0.000000 -0.000122
0.660661 0.000000 0.000956 0.000000 -0.000140
0.690691 0.000000 0.001142 0.000000 -0.000160
0.720721 0.000000 0.001353 0.000000 -0.000180
0.750751 0.000000 0.001590 0.000000 -0.000202
0.780781 0.000000 0.001854 0.000000 -0.000225
0.810811 0.000000 0.002149 0.000000 -0.000249
0.840841 0.000000 0.002474 0.000000 -0.000275
0.870871 0.000000 0.002831 0.000000 -0.000301
0.900901 0.000000 0.003222 0.000000 -0.000328
0.930931 0.000000 0.003647 0.000000 -0.000356
0.960961 0.000000 0.004107 0.000000 -0.000385
0.990991 0.000000 0.004602 0.000000 -0.000413
1.021021 0.000000 0.005133 0.000000 -0.000442
1.051051 0.000000 0.005700 0.000000 -0.000471
1.081081 0.000000 0.006302 0.000000 -0.000499
1.111111 0.000000 0.006939 0.000000 -0.000527
1.141141 0.000000 0.007611 0.000000 -0.000554
1.171171 0.000000 0.008315 0.000000 -0.000580
1.201201 0.000000 0.009050 0.000000 -0.000604
1.231231 0.000000 0.009814 0.000000 -0.000626
1.261261 0.000000 0.010604 0.000000 -0.000646
1.291291 0.000000 0.011418 0.000000 -0.000664
1.321321 0.000000 0.012251 0.000000 -0.000678
1.351351 0.000000 0.013101 0.000000 -0.000689
1.381381 0.000000 0.013962 0.000000 -0.000697
1.411411 0.000000 0.014829 0.000000 -0.000700
1.441441 0.000000 0.015697 0.000000 -0.000698
1.471471 0.000000 0.016560 0.000000 -0.000691
1.501502 0.000000 0.017410 0.000000 -0.000678
1.531532 0.000000 0.018241 0.000000 -0.000660
1.561562 0.000000 0.019045 0.000000 -0.000634
1.591592 0.000000 0.019813 0.000000 -0.000602
1.621622 0.000000 0.020536 0.000000 -0.000562
1.651652 0.000000 0.021204 0.000000 -0.000513
1.681682 0.000000 0.021807 0.000000 -0.000457
1.711712 0.000000 0.022334 0.000000 -0.000391
1.741742 0.000000 0.022773 0.000000 -0.000315
1.771772 0.000000 0.023112 0.000000 -0.000229
1.801802 0.000000 0.023338 0.000000 -0.000133
1.831832 0.000000 0.023438 0.000000 -0.000026
1.861862 0.000000 0.023397 0.000000 0.000093
1.891892 0.000000 0.023202 0.000000 0.000224
1.921922 0.000000 0.022836 0.000000 0.000367
1.951952 0.000000 0.022285 0.000000 0.000523
1.981982 0.000000 0.021532 0.000000 0.000692
2.012012 0.000000 0.020560 0.000000 0.000875
2.042042 0.000000 0.019353 0.000000 0.001072
2.072072 0.000000 0.017892 0.000000 0.001283
2.102102 0.000000 0.016160 0.000000 0.001509
2.132132 0.000000 0.014139 0.000000 0.001749
2.162162 0.000000 0.011810 0.000000 0.002005
2.192192 0.000000 0.009155 0.000000 0.002276
2.222222 0.000000 0.006153 0.000000 0.002562
2.252252 0.000000 0.002787 0.000000 0.002864
2.282282 0.000000 -0.000963 0.000000 0.003181
2.312312 0.000000 -0.005118 0.000000 0.003514
2.342342 0.000000 -0.009695 0.000000 0.003863
2.372372 0.000000 -0.014715 0.000000 0.004227
2.402402 0.000000 -0.020196 0.000000 0.004606
2.432432 0.000000 -0.026158 0.000000 0.005001
2.462462 0.000000 -0.032620 0.000000 0.005411
2.492492 0.000000 -0.039599 0.000000 0.005836
2.522523 0.000000 -0.047115 0.000000 0.006275
2.552553 0.000000 -0.055185 0.000000 0.006728
2.582583 0.000000 -0.063825 0.000000 0.007194
2.612613 0.000000 -0.073053 0.000000 0.007674
2.642643 0.000000 -0.082885 0.000000 0.008166
